date,league,home_team,away_team,home_odds,draw_odds,away_odds,home_form,away_form,prediction
2025-08-20,Europa League Tips,Midtjylland,KuPS,1.22,5.25,11.0,DWDWW,LWWWW,Home 2-0
2025-08-20,Europa League Tips,Malmo,Sigma Olomouc,1.65,3.5,5.0,WDLLW,WDWLW,Home 2-1
2025-08-20,Europa League Tips,SK Brann,AEK Larnaca,1.7,3.6,4.33,LDWWL,LDWWL,Home 2-1
2025-08-20,Europa League Tips,Panathinaikos,Samsunspor,1.6,3.7,5.25,LLDDD,WDWWW,Home 2-0
2025-08-20,Europa League Tips,Skendija 79,Ludogorets Razgrad,3.9,3.25,1.9,WLWLW,WWDWL,Away 1-2
2025-08-20,Europa League Tips,Zrinjski Mostar,FC Utrecht,4.1,3.7,1.7,WLDDW,WWWWW,Away 0-2
2025-08-20,Europa League Tips,Lech Poznan,Genk,3.1,3.3,2.15,WWLDD,WLDLW,Draw 1-1
2025-08-20,Europa League Tips,Aberdeen,Steaua Bucharest,2.35,3.25,2.75,DLLLW,LLWLW,Draw 1-1
2025-08-20,Europa League Tips,NK Rijeka,PAOK Salonika,3.1,3.2,2.2,WLDWL,WLWDW,Draw 1-1
2025-08-20,Europa League Tips,Lincoln Red Imps,Braga,15.0,7.0,1.14,WLLDD,DWWWW,Away 0-3
2025-08-20,Europa League Tips,Rosenborg,Mainz,3.75,3.3,1.9,WWLDW,DLDWD,Away 1-2
2025-08-20,Europa League Tips,BK Hacken,CFR Cluj,2.05,3.25,3.3,WLLDW,LWLLL,Draw 1-1
2025-08-20,Europa League Tips,Gyori ETO,Rapid Vienna,2.8,3.4,2.3,WDLDW,WWDWD,Away 0-1
2025-08-20,Europa League Tips,Hamrun Spartans,Rigas FS,3.2,3.3,2.05,WLLLL,LWLWL,Draw 1-1
2025-08-20,Europa League Tips,Wolfsberger,Omonia Nicosia,1.95,3.3,3.8,DLDWL,WWWWW,Home 2-1
2025-08-20,Europa League Tips,Anderlecht,AEK Athens,2.05,3.3,3.25,WWLDW,LWDDW,Home 1-0
2025-08-20,Europa League Tips,KF Drita,Differdange,1.75,3.6,4.0,WLLLL,WWWLW,Draw 1-1
2025-08-20,Europa League Tips,Neman Grodno,Rayo Vallecano,11.0,6.25,1.18,WWDLW,WDWDW,Away 0-2
2025-08-20,Europa League Tips,Olimpija,FC Noah,2.5,3.0,2.75,DLDWW,LLWDD,Home 2-1
2025-08-20,Europa League Tips,Polissya Zhytomyr,Fiorentina,6.5,4.75,1.38,WWWLL,LDLWW,Away 0-2
